form,schedule,rates,dt,phi,structure,sbs_residual,flipped
W1_S14_C1,seq_like,"100.0,10.0,1.0",5.00,0.01861294,triadic,1.57776108e-01,0
W1_S2_C2,equal,"1.0,1.0,1.0",0.10,0.03050519,triadic,1.49734339e-02,0
W1_S2_C2,equal,"1.0,1.0,1.0",1.00,0.24310409,triadic,2.35943506e-01,0
W1_S2_C2,equal,"1.0,1.0,1.0",5.00,0.22879236,triadic,3.73298489e-01,0
W1_S2_C2,slow_S,"1.0,0.1,1.0",0.10,0.00303032,triadic,1.62764314e-03,0
W1_S2_C2,slow_S,"1.0,0.1,1.0",1.00,0.03019106,triadic,5.13888245e-02,0
W1_S2_C2,slow_S,"1.0,0.1,1.0",5.00,0.04678082,triadic,2.10781639e-01,0
W1_S2_C2,seq_like,"100.0,10.0,1.0",0.10,0.02087584,triadic,2.44877749e-01,0
W1_S2_C2,seq_like,"100.0,10.0,1.0",1.00,0.01891087,triadic,1.57784441e-01,0
W1_S2_C2,seq_like,"100.0,10.0,1.0",5.00,0.01861294,triadic,1.57776108e-01,0
W1_S4_C2,equal,"1.0,1.0,1.0",0.10,0.03034613,triadic,8.43963676e-03,0
W1_S4_C2,equal,"1.0,1.0,1.0",1.00,0.12244458,triadic,1.50354274e-01,0
W1_S4_C2,equal,"1.0,1.0,1.0",5.00,0.00076926,triadic,7.06530187e-02,0
W1_S4_C2,slow_S,"1.0,0.1,1.0",0.10,0.00302859,triadic,9.54334494e-04,0
W1_S4_C2,slow_S,"1.0,0.1,1.0",1.00,0.02852435,triadic,6.25525752e-02,0
W1_S4_C2,slow_S,"1.0,0.1,1.0",5.00,0.01977221,triadic,3.04025046e-01,0
W1_S4_C2,seq_like,"100.0,10.0,1.0",0.10,0.00282380,triadic,2.17308465e-01,0
W1_S4_C2,seq_like,"100.0,10.0,1.0",1.00,0.00000000,dyadic,2.07517053e-01,1
W1_S4_C2,seq_like,"100.0,10.0,1.0",5.00,0.00000000,dyadic,2.04465876e-01,1
W1_S6_C2,equal,"1.0,1.0,1.0",0.10,0.01914262,triadic,1.47293243e-02,0
W1_S6_C2,equal,"1.0,1.0,1.0",1.00,0.09485430,triadic,2.07969364e-01,0
W1_S6_C2,equal,"1.0,1.0,1.0",5.00,0.02261709,triadic,2.34921895e-01,0
W1_S6_C2,slow_S,"1.0,0.1,1.0",0.10,0.00194051,triadic,1.60242720e-03,0
W1_S6_C2,slow_S,"1.0,0.1,1.0",1.00,0.01425137,triadic,6.13394428e-02,0
W1_S6_C2,slow_S,"1.0,0.1,1.0",5.00,0.01535931,triadic,3.22083233e-01,0
W1_S6_C2,seq_like,"100.0,10.0,1.0",0.10,0.02650738,triadic,2.12687875e-01,0
W1_S6_C2,seq_like,"100.0,10.0,1.0",1.00,0.01120803,triadic,2.27865147e-01,0
W1_S6_C2,seq_like,"100.0,10.0,1.0",5.00,0.00090620,triadic,1.38328345e-01,0
W1_S9_C2,equal,"1.0,1.0,1.0",0.10,0.01914262,triadic,1.47293243e-02,0
W1_S9_C2,equal,"1.0,1.0,1.0",1.00,0.09485430,triadic,2.07969364e-01,0
W1_S9_C2,equal,"1.0,1.0,1.0",5.00,0.02261709,triadic,2.34921895e-01,0
W1_S9_C2,slow_S,"1.0,0.1,1.0",0.10,0.00194051,triadic,1.60242720e-03,0
W1_S9_C2,slow_S,"1.0,0.1,1.0",1.00,0.01425137,triadic,6.13394428e-02,0
W1_S9_C2,slow_S,"1.0,0.1,1.0",5.00,0.01535931,triadic,3.22083233e-01,0
W1_S9_C2,seq_like,"100.0,10.0,1.0",0.10,0.02650738,triadic,2.12687875e-01,0
W1_S9_C2,seq_like,"100.0,10.0,1.0",1.00,0.01120803,triadic,2.27865147e-01,0
W1_S9_C2,seq_like,"100.0,10.0,1.0",5.00,0.00090620,triadic,1.38328345e-01,0
W1_S11_C2,equal,"1.0,1.0,1.0",0.10,0.03050519,triadic,1.49734339e-02,0
W1_S11_C2,equal,"1.0,1.0,1.0",1.00,0.24310409,triadic,2.35943506e-01,0
W1_S11_C2,equal,"1.0,1.0,1.0",5.00,0.22879236,triadic,3.73298489e-01,0
W1_S11_C2,slow_S,"1.0,0.1,1.0",0.10,0.00303032,triadic,1.62764314e-03,0
W1_S11_C2,slow_S,"1.0,0.1,1.0",1.00,0.03019106,triadic,5.13888245e-02,0
W1_S11_C2,slow_S,"1.0,0.1,1.0",5.00,0.04678082,triadic,2.10781639e-01,0
W1_S11_C2,seq_like,"100.0,10.0,1.0",0.10,0.02087584,triadic,2.44877749e-01,0
W1_S11_C2,seq_like,"100.0,10.0,1.0",1.00,0.01891087,triadic,1.57784441e-01,0
W1_S11_C2,seq_like,"100.0,10.0,1.0",5.00,0.01861294,triadic,1.57776108e-01,0
W1_S13_C2,equal,"1.0,1.0,1.0",0.10,0.03034613,triadic,8.43963676e-03,0
W1_S13_C2,equal,"1.0,1.0,1.0",1.00,0.12244458,triadic,1.50354274e-01,0
W1_S13_C2,equal,"1.0,1.0,1.0",5.00,0.00076926,triadic,7.06530187e-02,0
W1_S13_C2,slow_S,"1.0,0.1,1.0",0.10,0.00302859,triadic,9.54334494e-04,0
W1_S13_C2,slow_S,"1.0,0.1,1.0",1.00,0.02852435,triadic,6.25525752e-02,0
W1_S13_C2,slow_S,"1.0,0.1,1.0",5.00,0.01977221,triadic,3.04025046e-01,0
W1_S13_C2,seq_like,"100.0,10.0,1.0",0.10,0.00282380,triadic,2.17308465e-01,0
W1_S13_C2,seq_like,"100.0,10.0,1.0",1.00,0.00000000,dyadic,2.07517053e-01,1
W1_S13_C2,seq_like,"100.0,10.0,1.0",5.00,0.00000000,dyadic,2.04465876e-01,1
W2_S2_C1,equal,"1.0,1.0,1.0",0.10,0.03034613,triadic,8.43963676e-03,0
W2_S2_C1,equal,"1.0,1.0,1.0",1.00,0.12244458,triadic,1.50354274e-01,0
W2_S2_C1,equal,"1.0,1.0,1.0",5.00,0.00076926,triadic,7.06530187e-02,0
W2_S2_C1,slow_S,"1.0,0.1,1.0",0.10,0.00302859,triadic,9.54334494e-04,0
W2_S2_C1,slow_S,"1.0,0.1,1.0",1.00,0.02852435,triadic,6.25525752e-02,0
W2_S2_C1,slow_S,"1.0,0.1,1.0",5.00,0.01977221,triadic,3.04025046e-01,0
W2_S2_C1,seq_like,"100.0,10.0,1.0",0.10,0.00282380,triadic,2.17308465e-01,0
W2_S2_C1,seq_like,"100.0,10.0,1.0",1.00,0.00000000,dyadic,2.07517053e-01,1
W2_S2_C1,seq_like,"100.0,10.0,1.0",5.00,0.00000000,dyadic,2.04465876e-01,1
W2_S4_C1,equal,"1.0,1.0,1.0",0.10,0.03050519,triadic,1.49734339e-02,0
W2_S4_C1,equal,"1.0,1.0,1.0",1.00,0.24310409,triadic,2.35943506e-01,0
W2_S4_C1,equal,"1.0,1.0,1.0",5.00,0.22879236,triadic,3.73298489e-01,0
W2_S4_C1,slow_S,"1.0,0.1,1.0",0.10,0.00303032,triadic,1.62764314e-03,0
W2_S4_C1,slow_S,"1.0,0.1,1.0",1.00,0.03019106,triadic,5.13888245e-02,0
W2_S4_C1,slow_S,"1.0,0.1,1.0",5.00,0.04678082,triadic,2.10781639e-01,0
W2_S4_C1,seq_like,"100.0,10.0,1.0",0.10,0.02087584,triadic,2.44877749e-01,0
W2_S4_C1,seq_like,"100.0,10.0,1.0",1.00,0.01891087,triadic,1.57784441e-01,0
W2_S4_C1,seq_like,"100.0,10.0,1.0",5.00,0.01861294,triadic,1.57776108e-01,0
W2_S6_C1,equal,"1.0,1.0,1.0",0.10,0.01914262,triadic,1.47293243e-02,0
W2_S6_C1,equal,"1.0,1.0,1.0",1.00,0.09485430,triadic,2.07969364e-01,0
W2_S6_C1,equal,"1.0,1.0,1.0",5.00,0.02261709,triadic,2.34921895e-01,0
W2_S6_C1,slow_S,"1.0,0.1,1.0",0.10,0.00194051,triadic,1.60242720e-03,0
W2_S6_C1,slow_S,"1.0,0.1,1.0",1.00,0.01425137,triadic,6.13394428e-02,0
W2_S6_C1,slow_S,"1.0,0.1,1.0",5.00,0.01535931,triadic,3.22083233e-01,0
W2_S6_C1,seq_like,"100.0,10.0,1.0",0.10,0.02650738,triadic,2.12687875e-01,0
W2_S6_C1,seq_like,"100.0,10.0,1.0",1.00,0.01120803,triadic,2.27865147e-01,0
W2_S6_C1,seq_like,"100.0,10.0,1.0",5.00,0.00090620,triadic,1.38328345e-01,0
W2_S9_C1,equal,"1.0,1.0,1.0",0.10,0.01914262,triadic,1.47293243e-02,0
W2_S9_C1,equal,"1.0,1.0,1.0",1.00,0.09485430,triadic,2.07969364e-01,0
W2_S9_C1,equal,"1.0,1.0,1.0",5.00,0.02261709,triadic,2.34921895e-01,0
W2_S9_C1,slow_S,"1.0,0.1,1.0",0.10,0.00194051,triadic,1.60242720e-03,0
W2_S9_C1,slow_S,"1.0,0.1,1.0",1.00,0.01425137,triadic,6.13394428e-02,0
W2_S9_C1,slow_S,"1.0,0.1,1.0",5.00,0.01535931,triadic,3.22083233e-01,0
W2_S9_C1,seq_like,"100.0,10.0,1.0",0.10,0.02650738,triadic,2.12687875e-01,0
W2_S9_C1,seq_like,"100.0,10.0,1.0",1.00,0.01120803,triadic,2.27865147e-01,0
W2_S9_C1,seq_like,"100.0,10.0,1.0",5.00,0.00090620,triadic,1.38328345e-01,0
W2_S11_C1,equal,"1.0,1.0,1.0",0.10,0.03034613,triadic,8.43963676e-03,0
W2_S11_C1,equal,"1.0,1.0,1.0",1.00,0.12244458,triadic,1.50354274e-01,0
W2_S11_C1,equal,"1.0,1.0,1.0",5.00,0.00076926,triadic,7.06530187e-02,0
W2_S11_C1,slow_S,"1.0,0.1,1.0",0.10,0.00302859,triadic,9.54334494e-04,0
W2_S11_C1,slow_S,"1.0,0.1,1.0",1.00,0.02852435,triadic,6.25525752e-02,0
W2_S11_C1,slow_S,"1.0,0.1,1.0",5.00,0.01977221,triadic,3.04025046e-01,0
W2_S11_C1,seq_like,"100.0,10.0,1.0",0.10,0.00282380,triadic,2.17308465e-01,0
W2_S11_C1,seq_like,"100.0,10.0,1.0",1.00,0.00000000,dyadic,2.07517053e-01,1
W2_S11_C1,seq_like,"100.0,10.0,1.0",5.00,0.00000000,dyadic,2.04465876e-01,1
W2_S13_C1,equal,"1.0,1.0,1.0",0.10,0.03050519,triadic,1.49734339e-02,0
W2_S13_C1,equal,"1.0,1.0,1.0",1.00,0.24310409,triadic,2.35943506e-01,0
W2_S13_C1,equal,"1.0,1.0,1.0",5.00,0.22879236,triadic,3.73298489e-01,0
W2_S13_C1,slow_S,"1.0,0.1,1.0",0.10,0.00303032,triadic,1.62764314e-03,0
W2_S13_C1,slow_S,"1.0,0.1,1.0",1.00,0.03019106,triadic,5.13888245e-02,0
W2_S13_C1,slow_S,"1.0,0.1,1.0",5.00,0.04678082,triadic,2.10781639e-01,0
W2_S13_C1,seq_like,"100.0,10.0,1.0",0.10,0.02087584,triadic,2.44877749e-01,0
W2_S13_C1,seq_like,"100.0,10.0,1.0",1.00,0.01891087,triadic,1.57784441e-01,0
W2_S13_C1,seq_like,"100.0,10.0,1.0",5.00,0.01861294,triadic,1.57776108e-01,0
W2_S1_C2,equal,"1.0,1.0,1.0",0.10,0.03050519,triadic,1.49734339e-02,0
W2_S1_C2,equal,"1.0,1.0,1.0",1.00,0.24310409,triadic,2.35943506e-01,0
W2_S1_C2,equal,"1.0,1.0,1.0",5.00,0.22879236,triadic,3.73298489e-01,0
W2_S1_C2,slow_S,"1.0,0.1,1.0",0.10,0.00303032,triadic,1.62764314e-03,0
W2_S1_C2,slow_S,"1.0,0.1,1.0",1.00,0.03019106,triadic,5.13888245e-02,0
W2_S1_C2,slow_S,"1.0,0.1,1.0",5.00,0.04678082,triadic,2.10781639e-01,0
W2_S1_C2,seq_like,"100.0,10.0,1.0",0.10,0.02087584,triadic,2.44877749e-01,0
W2_S1_C2,seq_like,"100.0,10.0,1.0",1.00,0.01891087,triadic,1.57784441e-01,0
W2_S1_C2,seq_like,"100.0,10.0,1.0",5.00,0.01861294,triadic,1.57776108e-01,0
W2_S6_C2,equal,"1.0,1.0,1.0",0.10,0.01914262,triadic,1.47293243e-02,0
W2_S6_C2,equal,"1.0,1.0,1.0",1.00,0.09485430,triadic,2.07969364e-01,0
W2_S6_C2,equal,"1.0,1.0,1.0",5.00,0.02261709,triadic,2.34921895e-01,0
W2_S6_C2,slow_S,"1.0,0.1,1.0",0.10,0.00194051,triadic,1.60242720e-03,0
W2_S6_C2,slow_S,"1.0,0.1,1.0",1.00,0.01425137,triadic,6.13394428e-02,0
W2_S6_C2,slow_S,"1.0,0.1,1.0",5.00,0.01535931,triadic,3.22083233e-01,0
W2_S6_C2,seq_like,"100.0,10.0,1.0",0.10,0.02650738,triadic,2.12687875e-01,0
W2_S6_C2,seq_like,"100.0,10.0,1.0",1.00,0.01120803,triadic,2.27865147e-01,0
W2_S6_C2,seq_like,"100.0,10.0,1.0",5.00,0.00090620,triadic,1.38328345e-01,0
W2_S7_C2,equal,"1.0,1.0,1.0",0.10,0.03050519,triadic,1.49734339e-02,0
W2_S7_C2,equal,"1.0,1.0,1.0",1.00,0.24310409,triadic,2.35943506e-01,0
W2_S7_C2,equal,"1.0,1.0,1.0",5.00,0.22879236,triadic,3.73298489e-01,0
W2_S7_C2,slow_S,"1.0,0.1,1.0",0.10,0.00303032,triadic,1.62764314e-03,0
W2_S7_C2,slow_S,"1.0,0.1,1.0",1.00,0.03019106,triadic,5.13888245e-02,0
W2_S7_C2,slow_S,"1.0,0.1,1.0",5.00,0.04678082,triadic,2.10781639e-01,0
W2_S7_C2,seq_like,"100.0,10.0,1.0",0.10,0.02087584,triadic,2.44877749e-01,0
W2_S7_C2,seq_like,"100.0,10.0,1.0",1.00,0.01891087,triadic,1.57784441e-01,0
W2_S7_C2,seq_like,"100.0,10.0,1.0",5.00,0.01861294,triadic,1.57776108e-01,0
W2_S8_C2,equal,"1.0,1.0,1.0",0.10,0.03034613,triadic,8.43963676e-03,0
W2_S8_C2,equal,"1.0,1.0,1.0",1.00,0.12244458,triadic,1.50354274e-01,0
W2_S8_C2,equal,"1.0,1.0,1.0",5.00,0.00076926,triadic,7.06530187e-02,0
W2_S8_C2,slow_S,"1.0,0.1,1.0",0.10,0.00302859,triadic,9.54334494e-04,0
W2_S8_C2,slow_S,"1.0,0.1,1.0",1.00,0.02852435,triadic,6.25525752e-02,0
W2_S8_C2,slow_S,"1.0,0.1,1.0",5.00,0.01977221,triadic,3.04025046e-01,0
W2_S8_C2,seq_like,"100.0,10.0,1.0",0.10,0.00282380,triadic,2.17308465e-01,0
W2_S8_C2,seq_like,"100.0,10.0,1.0",1.00,0.00000000,dyadic,2.07517053e-01,1
W2_S8_C2,seq_like,"100.0,10.0,1.0",5.00,0.00000000,dyadic,2.04465876e-01,1
W2_S9_C2,equal,"1.0,1.0,1.0",0.10,0.01914262,triadic,1.47293243e-02,0
W2_S9_C2,equal,"1.0,1.0,1.0",1.00,0.09485430,triadic,2.07969364e-01,0
W2_S9_C2,equal,"1.0,1.0,1.0",5.00,0.02261709,triadic,2.34921895e-01,0
W2_S9_C2,slow_S,"1.0,0.1,1.0",0.10,0.00194051,triadic,1.60242720e-03,0
W2_S9_C2,slow_S,"1.0,0.1,1.0",1.00,0.01425137,triadic,6.13394428e-02,0
W2_S9_C2,slow_S,"1.0,0.1,1.0",5.00,0.01535931,triadic,3.22083233e-01,0
W2_S9_C2,seq_like,"100.0,10.0,1.0",0.10,0.02650738,triadic,2.12687875e-01,0
W2_S9_C2,seq_like,"100.0,10.0,1.0",1.00,0.01120803,triadic,2.27865147e-01,0
W2_S9_C2,seq_like,"100.0,10.0,1.0",5.00,0.00090620,triadic,1.38328345e-01,0
W2_S14_C2,equal,"1.0,1.0,1.0",0.10,0.03034613,triadic,8.43963676e-03,0
W2_S14_C2,equal,"1.0,1.0,1.0",1.00,0.12244458,triadic,1.50354274e-01,0
W2_S14_C2,equal,"1.0,1.0,1.0",5.00,0.00076926,triadic,7.06530187e-02,0
W2_S14_C2,slow_S,"1.0,0.1,1.0",0.10,0.00302859,triadic,9.54334494e-04,0
W2_S14_C2,slow_S,"1.0,0.1,1.0",1.00,0.02852435,triadic,6.25525752e-02,0
W2_S14_C2,slow_S,"1.0,0.1,1.0",5.00,0.01977221,triadic,3.04025046e-01,0
W2_S14_C2,seq_like,"100.0,10.0,1.0",0.10,0.00282380,triadic,2.17308465e-01,0
W2_S14_C2,seq_like,"100.0,10.0,1.0",1.00,0.00000000,dyadic,2.07517053e-01,1
W2_S14_C2,seq_like,"100.0,10.0,1.0",5.00,0.00000000,dyadic,2.04465876e-01,1
